name,sport,team1
#GoSaints,nfl,New Orleans Saints
#NOvsMIN,nfl,New Orleans Saints
#NOvsTB,nfl,New Orleans Saints
Alvin Kamara,nfl,New Orleans Saints
Marcus Williams,nfl,New Orleans Saints
Saints or Vikings,nfl,New Orleans Saints
Who Dat,nfl,New Orleans Saints
#GiantsPride,nfl,New York Giants
Hunter Sharp,nfl,New York Giants
Orleans Darkwa,nfl,New York Giants
#NYJvsNE,nfl,New York Jets
Bryce Petty,nfl,New York Jets
Buster Skrine,nfl,New York Jets
David Bass,nfl,New York Jets
Jamal Adams,nfl,New York Jets
Jets,nfl,New York Jets
JoJo Natson,nfl,New York Jets
Marcus Maye,nfl,New York Jets
Morris Claiborne,nfl,New York Jets
Petty,nfl,New York Jets
Robby Anderson,nfl,New York Jets
#OAKvsLAC,nfl,Oakland Raiders
Amari Cooper,nfl,Oakland Raiders
Crabtree,nfl,Oakland Raiders
Jon Gruden,nfl,Oakland Raiders
Tom Cable,nfl,Oakland Raiders
Best WR,nfl,opinion
#FlyEaglesFly,nfl,Philadelphia Eagles
Agholor,nfl,Philadelphia Eagles
Alshon Jeffery,nfl,Philadelphia Eagles
Brandon Graham,nfl,Philadelphia Eagles
Darby,nfl,Philadelphia Eagles
Donnie Jones,nfl,Philadelphia Eagles
Eagles,nfl,Philadelphia Eagles
Foles,nfl,Philadelphia Eagles
Jalen Mills,nfl,Philadelphia Eagles
Jay Ajayi,nfl,Philadelphia Eagles
Jeffrey Lurie,nfl,Philadelphia Eagles
Jenkins,nfl,Philadelphia Eagles
Jim Schwartz,nfl,Philadelphia Eagles
Lane Johnson,nfl,Philadelphia Eagles
Nate Sudfeld,nfl,Philadelphia Eagles
Rasul Douglas,nfl,Philadelphia Eagles
Sidney Jones,nfl,Philadelphia Eagles
Sudfeld,nfl,Philadelphia Eagles
Torrey Smith,nfl,Philadelphia Eagles
Vinny Curry,nfl,Philadelphia Eagles
#HereWeGo,nfl,Pittsburgh Steelers
Antonio Brown,nfl,Pittsburgh Steelers
Artie Burns,nfl,Pittsburgh Steelers
Ben Roethlisberger,nfl,Pittsburgh Steelers
Darrius Heyward-Bey,nfl,Pittsburgh Steelers
David DeCastro,nfl,Pittsburgh Steelers
Heinz Field,nfl,Pittsburgh Steelers
Joe Haden,nfl,Pittsburgh Steelers
JuJu Smith-Schuster,nfl,Pittsburgh Steelers
Keith Butler,nfl,Pittsburgh Steelers
Landry Jones,nfl,Pittsburgh Steelers
Leveon,nfl,Pittsburgh Steelers
Martavis Bryant,nfl,Pittsburgh Steelers
Shazier,nfl,Pittsburgh Steelers
Steelers,nfl,Pittsburgh Steelers
Stevan Ridley,nfl,Pittsburgh Steelers
The Steelers,nfl,Pittsburgh Steelers
Todd Haley,nfl,Pittsburgh Steelers
Vance McDonald,nfl,Pittsburgh Steelers
Vince Williams,nfl,Pittsburgh Steelers
WR Antonio Brown,nfl,Pittsburgh Steelers
Championship Sunday,nfl,Playoffs
NOT A CATCH,nfl,Referee
#SFvsLA,nfl,San Francisco 49ers
Kyle Shanahan,nfl,San Francisco 49ers
Marquise Goodwin,nfl,San Francisco 49ers
Kris Richard,nfl,Seattle Seahawks
Tyler Lockett,nfl,Seattle Seahawks
Super Bowl,nfl,Super Bowl
Doug Martin,nfl,Tampa Bay Buccaneers
Mike Evans,nfl,Tampa Bay Buccaneers
#TENvsNE,nfl,Tennessee Titans
#TitanUp,nfl,Tennessee Titans
Corey Davis,nfl,Tennessee Titans
Derrick Henry,nfl,Tennessee Titans
Jonnu Smith,nfl,Tennessee Titans
Titans,nfl,Tennessee Titans
#WASvsNYG,nfl,Washington Redskins
Doctson,nfl,Washington Redskins
Kirk Cousins,nfl,Washington Redskins
Preston Smith,nfl,Washington Redskins
Redskins,nfl,Washington Redskins
Samaje Perine,nfl,Washington Redskins
The Redskins,nfl,Washington Redskins
#AnaheimDucksGoooaaalll,nhl,Anaheim Ducks
#LetsGoDucks,nhl,Anaheim Ducks
Eric Daze,nhl,Chicago Blackhawks
Patrick Kane,nhl,Chicago Blackhawks
Dylan Larkin,nhl,Detroit Red Wings
Mike Green,nhl,Detroit Red Wings
Tyler Bertuzzi,nhl,Detroit Red Wings
Reilly Smith,nhl,Las Vegas Golden Knights
#MINvsNSH,nhl,Minnesota Wild
#Isles,nhl,New York Islanders
Andrew Ladd,nhl,New York Islanders
Beauvillier,nhl,New York Islanders
Tanner Fritz,nhl,New York Islanders
#WinterClassic,nhl,New York Rangers
#LetsGoPens,nhl,Pittsburgh Penguins
Malkin,nhl,Pittsburgh Penguins
Tristan Jarry,nhl,Pittsburgh Penguins
Jeremy Roenick,nhl,retired
#HouHalf,running,Houston Marathon
#HouMarathon,running,Houston Marathon
Bournemouth,soc,AFC Bournemouth
#Arsenal,soc,Arsenal FC
Arsenal,soc,Arsenal FC
Invincibles,soc,Arsenal FC
Iwobi,soc,Arsenal FC
Lacazette,soc,Arsenal FC
#CHELEI,soc,Chelsea
#CPFC,soc,Crystal Palace FC
#CRYMCI,soc,Crystal Palace FC
Crystal Palace,soc,Crystal Palace FC
Jason Puncheon,soc,Crystal Palace FC
Palace,soc,Crystal Palace FC
Zaha,soc,Crystal Palace FC
Everton,soc,Everton FC
Leicester,soc,Leicester City FC
Mahrez,soc,Leicester City FC
#LIVMCI,soc,Liverpool
Andy Robertson,soc,Liverpool
Chamberlain,soc,Liverpool
Emre Can,soc,Liverpool
Gomez,soc,Liverpool
Klavan,soc,Liverpool
Klopp,soc,Liverpool
Liverpool,soc,Liverpool
Livers,soc,Liverpool
Mo Salah,soc,Liverpool
#ManCity,soc,Manchester City FC
#MCFC,soc,Manchester City FC
Aguero,soc,Manchester City FC
De Bruyne,soc,Manchester City FC
Ederson,soc,Manchester City FC
Gabriel Jesus,soc,Manchester City FC
John Stones,soc,Manchester City FC
Leroy Sané,soc,Manchester City FC
Manchester City,soc,Manchester City FC
Sane,soc,Manchester City FC
#EVEMUN,soc,Manchester United
Real Madrid,soc,Real Madrid FC
Zidane,soc,Real Madrid FC
Anoeta,soc,Real Sociedad FC
Real Sociedad,soc,Real Sociedad FC
Mike Dean,soc,Referee
#COYS,soc,Tottenham Hotspur FC
#TOTEVE,soc,Tottenham Hotspur FC
#WBAvAFC,soc,West Bromwich Albion FC
West Brom,soc,West Bromwich Albion FC
Serena Williams,ten,tennis
#SDLive,wrest,WWE Smackdown
Suarez,,
